    x       y       dy
-1.97500 0.02321 0 0.00006
-1.92500 0.02369 0 0.00006
-1.87500 0.02403 0 0.00006
-1.82500 0.02440 0 0.00006
-1.77500 0.02494 0 0.00006
-1.72500 0.02532 0 0.00006
-1.67500 0.02549 0 0.00006
-1.62500 0.02590 0 0.00006
-1.57500 0.02657 0 0.00006
-1.52500 0.02697 0 0.00006
-1.47500 0.02755 0 0.00007
-1.42500 0.02821 0 0.00007
-1.37500 0.02889 0 0.00007
-1.32500 0.02988 0 0.00007
-1.27500 0.03070 0 0.00007
-1.22500 0.03209 0 0.00007
-1.17500 0.03350 0 0.00007
-1.12500 0.03526 0 0.00007
-1.07500 0.03746 0 0.00008
-1.02500 0.04010 0 0.00008
-0.97500 0.04351 0 0.00008
-0.92500 0.04779 0 0.00009
-0.87500 0.05325 0 0.00009
-0.82500 0.06008 0 0.00010
-0.77500 0.06839 0 0.00010
-0.72500 0.07940 0 0.00011
-0.67500 0.09306 0 0.00012
-0.62500 0.11037 0 0.00013
-0.57500 0.13181 0 0.00014
-0.52500 0.15831 0 0.00016
-0.47500 0.19128 0 0.00017
-0.42500 0.23369 0 0.00019
-0.37500 0.28745 0 0.00021
-0.32500 0.35547 0 0.00023
-0.27500 0.44142 0 0.00026
-0.22500 0.54506 0 0.00029
-0.17500 0.66275 0 0.00032
-0.12500 0.78507 0 0.00035
-0.07500 0.89411 0 0.00037
-0.02500 0.97053 0 0.00039
0.02500 1.00000 0 0.00039
0.07500 0.97478 0 0.00039
0.12500 0.89889 0 0.00037
0.17500 0.78474 0 0.00035
0.22500 0.65160 0 0.00032
0.27500 0.51806 0 0.00028
0.32500 0.39595 0 0.00025
0.37500 0.29406 0 0.00021
0.42500 0.21384 0 0.00018
0.47500 0.15418 0 0.00015
0.52500 0.11093 0 0.00013
0.57500 0.08074 0 0.00011
0.62500 0.05982 0 0.00010
0.67500 0.04559 0 0.00008
0.72500 0.03608 0 0.00007
0.77500 0.02936 0 0.00007
0.82500 0.02498 0 0.00006
0.87500 0.02180 0 0.00006
0.92500 0.01954 0 0.00006
0.97500 0.01787 0 0.00005
1.02500 0.01673 0 0.00005
1.07500 0.01603 0 0.00005
1.12500 0.01550 0 0.00005
1.17500 0.01522 0 0.00005
1.22500 0.01517 0 0.00005
1.27500 0.01531 0 0.00005
1.32500 0.01559 0 0.00005
1.37500 0.01580 0 0.00005
1.42500 0.01639 0 0.00005
1.47500 0.01679 0 0.00005
1.52500 0.01747 0 0.00005
1.57500 0.01800 0 0.00005
1.62500 0.01851 0 0.00005
1.67500 0.01913 0 0.00005
1.72500 0.01971 0 0.00006
1.77500 0.02029 0 0.00006
1.82500 0.02086 0 0.00006
1.87500 0.02139 0 0.00006
1.92500 0.02217 0 0.00006
1.97500 0.02274 0 0.00006
